,X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,ObjectId
18614,-7922730.6110000005,5214040.833000001,36950,Serviceberry,Amelanchier species,1,3-6in,4.0,--,Boston,Allston-Brighton,41,Hunnewell Avenue,,1,-71.1711,42.35324,36813
37926,-7912062.864,5212790.049,28718,"Linden, Littleleaf",Tilia cordata,1,12-18in,17.0,--,Boston,South End,130,Appleton Street,,3,-71.07526999999999,42.34494,28886
13214,-7911363.778,5218380.393999999,6036,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Charlestown,380,Bunker Hill Street,,6,-71.06899,42.38204,6295
16051,-7907672.89,5216097.057,42380,Crabapple spp.,Malus spp.,1,3-6in,4.0,--,--,East Boston,43,Cottage Street,,1,-71.03584000000001,42.366890000000005,40518
15849,-7910393.072000001,5217648.004,34440,"Cherry, Autumnalis",Prunus subhirtella 'Autumnalis',1,3-6in,4.0,--,Boston,Charlestown,21,Monument Square,,3,-71.06026999999999,42.377179999999996,34198
1034,-7919748.705,5204683.553,40179,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,West Roxbury,16,Peak Hill Road,,1,-71.14431,42.291090000000004,38401
3184,-7915279.33,5200539.475,31436,Vacant Unacceptable/Retired,Vacant Unacceptable/Retired,1,,0.0,--,Boston,Hyde Park,2,Belnel Road,,1,-71.10416,42.26355,32028
33878,-7911668.793,5212285.655,2380,Honeylocust,Gleditsia triacanthos,1,12-18in,14.0,--,Boston,South End,15,West Dedham Street,a,1,-71.07173,42.341590000000004,1343
15459,-7916514.531,5213684.138,37449,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,3.0,--,Brookline,Allston-Brighton,888,Commonwealth Avenue,,1,-71.11525999999999,42.35087,36891
9020,-7907298.39,5217773.8319999995,31069,"Maple, Red",Acer rubrum,1,0-3in,2.0,--,--,East Boston,244,Saratoga Street,,1,-71.03246999999999,42.37802,32446
2342,-7914432.856000001,5209215.441000001,41072,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Roxbury,71,Weaver Way,,1,-71.09656,42.3212,42196
24886,-7909588.232000001,5214983.85,8390,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,--,Central Boston,200,State Street,,2,-71.05304,42.3595,9734
18954,-7914926.002,5212054.778,27333,"Basswood, American",Tilia americana,1,3-6in,5.0,--,Boston,Fenway/Longwood,32,Avenue Louis Pasteur,,2,-71.10099,42.34005,26633
10533,-7908427.17,5216760.171,3220,"Oak, Willow",Quercus phellos,1,0-3in,2.0,Spring 2022,--,East Boston,2,Landing Street,,1,-71.04261,42.37129,3500
343,-7912871.044,5210714.51,24780,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Roxbury,2190,Washington Street,,2,-71.08253,42.33115,22742
18002,-7910876.199,5212556.901000001,37638,"Maple, Red",Acer rubrum,1,3-6in,4.0,--,Boston,South End,149,East Berkeley Street,,1,-71.06461,42.34339,39626
6262,-7922141.731000001,5204236.008,2425,Goldenrain Tree,Koelreuteria paniculata,1,0-3in,2.0,--,Boston,West Roxbury,663,Lagrange Street,,1,-71.16581,42.28812,1405
18410,-7914121.1620000005,5202813.191000001,36239,"Oak, Willow",Quercus phellos,1,3-6in,4.0,--,Boston,Mattapan,1333,Blue Hill Avenue,,1,-71.09376,42.278659999999995,35157
35973,-7913719.2979999995,5202092.535,21101,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,12-18in,15.0,--,Boston,Mattapan,8,Violet Street,,1,-71.09015,42.27387,21124
43947,-7918666.337,5204446.68,33778,"Oak, Swamp White",Quercus bicolor,1,>30in,35.0,--,Boston,Roslindale,18,Hewlett Street,,1,-71.13459,42.28952,34524
18665,-7907956.288,5210887.981000001,10086,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,4.0,--,Boston,South Boston,552,East Seventh Street,,2,-71.03838,42.33231,10030
32951,-7909751.204,5203238.99,7325,"Maple, Norway",Acer platanoides,1,12-18in,13.0,--,Boston,Dorchester,23,Lenoxdale Avenue,,1,-71.0545,42.281490000000005,7278
11275,-7913391.351,5208453.199,41147,Sweetgum 'Happidaze',Liquidambar styraciflua 'Happdell',1,0-3in,2.0,Spring 2022,Boston,Roxbury,126,Humboldt Avenue,,2,-71.0872,42.316140000000004,42269
15460,-7912376.785,5206104.682,35481,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,3.0,--,Boston,Dorchester,15,Carmen Street,,1,-71.07809,42.30053,37062
13398,-7914063.276000001,5207756.953,22463,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Roxbury,64,Seaver Street,,2,-71.09324000000001,42.31151,22049
26169,-7904603.345,5219565.9,1063,"Cherry, Japanese Flowering",Prunus serrulata,1,6-12in,9.0,--,--,East Boston,195,Gladstone Street,,1,-71.00825999999999,42.38991,53
43290,-7919202.228999999,5203497.338,12263,"Zelkova, Japanese",Zelkova serrata,1,24-30in,27.0,--,Boston,Roslindale,44,Beryl Street,,1,-71.1394,42.28321,11677
10398,-7911893.659,5207386.646000001,39311,"Oak, Swamp White",Quercus bicolor,1,0-3in,2.0,Spring 2024,Boston,Dorchester,301,Columbia Road,,1,-71.07375,42.30905,38728
37702,-7920069.407000001,5205198.817,14475,Honeylocust,Gleditsia triacanthos,1,12-18in,17.0,--,Boston,West Roxbury,68,Willowdean Avenue,,1,-71.14719000000001,42.294509999999995,14688
29737,-7915232.13,5209014.901000001,34873,Honeylocust,Gleditsia triacanthos,1,6-12in,11.0,--,Boston,Jamaica Plain,88,Mozart Street,,2,-71.10374,42.31987,33987
36800,-7910467.656,5217745.653,4563,"Linden, Littleleaf",Tilia cordata,1,12-18in,16.0,--,--,Charlestown,24,Concord Street,,1,-71.06094,42.377829999999996,4629
15826,-7911105.071,5213652.204,4260,"Buckeye, Ohio",Aesculus glabra,1,3-6in,4.0,--,--,Central Boston,154,Stuart Street,,1,-71.06667,42.35066,4154
35803,-7920412.938999999,5202467.149,13078,"Maple, Norway",Acer platanoides,1,12-18in,15.0,--,Boston,West Roxbury,16,Tennyson Street,,1,-71.15028000000001,42.27636,14571
9266,-7913844.342999999,5205205.072,42359,"Maple, Red 'October Glory'",Acer rubrum 'October Glory',1,0-3in,2.0,Spring 2023,Boston,Dorchester,44,Wilbert Road,,1,-71.09127,42.29456,41829
11476,-7916247.364,5209650.1110000005,34993,Tulip Tree,Liriodendron tulipifera,1,0-3in,2.0,Spring 2024,Boston,Jamaica Plain,95,Bynner Street,,1,-71.11286,42.324090000000005,34440
41724,-7917066.676,5208027.166,15648,"Maple, Norway",Acer platanoides,1,18-24in,22.0,--,Boston,Jamaica Plain,122,Pond Street,,2,-71.12021999999999,42.3133,16112
24732,-7920252.6389999995,5211596.807,30045,Ginkgo,Ginkgo biloba,1,6-12in,8.0,--,Boston,Allston-Brighton,4,Ayr Road,,1,-71.14884,42.33701,29826
26441,-7910322.941000001,5214299.023,8578,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,--,Central Boston,25,Summer Street,,1,-71.05964,42.35495,8370
17853,-7907384.106000001,5215981.2,13020,"Maple, Red",Acer rubrum,1,3-6in,4.0,--,--,East Boston,414,Sumner Street,,1,-71.03324,42.36612,14465
24608,-7911681.706,5213805.393999999,7394,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,8.0,--,--,Back Bay/Beacon Hill,399,Boylston Street,,2,-71.07185,42.35168,7362
25239,-7919250.7639999995,5203099.512,33513,"Linden, Silver",Tilia tomentosa,1,6-12in,8.0,--,Boston,Roslindale,160,Orange Street,,1,-71.13984,42.280559999999994,34823
29207,-7910704.767000001,5217516.602,31948,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,11.0,--,--,Charlestown,46,High Street,,1,-71.06307,42.37631,30356
29313,-7914757.909,5212385.507,11292,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,11.0,--,Boston,Fenway/Longwood,69,Kilmarnock Street,,1,-71.09948,42.34225,10875
9565,-7911746.272000001,5207078.518999999,38557,"Oak, Hybrid English",Quercus robur x bicolor,1,0-3in,2.0,Spring 2024,Boston,Dorchester,58,Wilrose Street,,3,-71.07243000000001,42.306999999999995,37988
19632,-7917645.5370000005,5204384.079,12292,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,Roslindale,4139,Washington Street,,2,-71.12541999999999,42.2891,11671
20988,-7917572.066000001,5215592.04,31612,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,5.0,--,Boston,Allston-Brighton,114,Western Avenue,,1,-71.12476,42.36354,30064
38023,-7911484.671,5212473.463,10917,"Maple, Norway",Acer platanoides,1,12-18in,17.0,--,Boston,South End,1,Ringgold Street,,2,-71.07008,42.34283,11983
44027,-7911034.272000001,5205890.06,18410,Ginkgo,Ginkgo biloba,1,>30in,38.0,--,Boston,Dorchester,23,Tonawanda Street,,1,-71.06603,42.29911,19147
1388,-7913396.472,5208957.54,38650,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Roxbury,10,Harold Park,,8,-71.08725,42.31948,39066
16296,-7913937.485,5211884.598999999,30963,"Elm, American",Ulmus americana,1,3-6in,4.0,--,Boston,Fenway/Longwood,444,Huntington Avenue,,1,-71.09210999999999,42.33892,32417
13831,-7921382.532000001,5203913.989,13712,"Lilac, Japanese Tree",Syringa reticulata,1,3-6in,3.0,--,Boston,West Roxbury,38,Richwood Street,,2,-71.15899,42.28598,12699
354,-7921666.397000001,5214624.859,24341,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Allston-Brighton,7,Riverview Road,,1,-71.16154,42.35712,23820
8739,-7909860.965,5215324.775,1625,"Maple, Red",Acer rubrum,1,0-3in,2.0,--,--,Central Boston,637,John F Fitzgerald Surface Road,,2,-71.05549,42.36176,2124
17227,-7908780.561000001,5214062.166999999,46567,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,4.0,--,Boston,South Boston,50,Northern Ave,,5,-71.04578000000001,42.35338,43184
24587,-7919302.527000001,5204778.347,11033,Elm,Ulmus species,1,6-12in,8.0,--,Boston,West Roxbury,87,Montclair Avenue,,1,-71.1403,42.29172,12450
30012,-7917704.091,5206508.353,15289,"Maple, Norway",Acer platanoides,1,6-12in,11.0,--,Boston,Jamaica Plain,19,Westchester Road,,2,-71.12595,42.30322,15805
43983,-7917900.458,5196214.991,20994,"Oak, Pin",Quercus palustris,1,>30in,36.0,--,Boston,Hyde Park,41,Lawton Street,,1,-71.12771,42.234790000000004,20499
43170,-7920641.812000001,5202803.411,13169,"Linden, Littleleaf",Tilia cordata,1,24-30in,27.0,--,Boston,West Roxbury,77,Oriole Street,,2,-71.15234,42.27859,14295
43954,-7913454.357999999,5208957.54,22699,Tree of Heaven,Ailanthus altissima,1,>30in,35.0,--,Boston,Roxbury,21,Harold Street,,2,-71.08776999999999,42.31948,23175
7656,-7917269.277000001,5203957.175,11903,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,Spring 2023,Boston,Roslindale,47,Ridge Street,,1,-71.12204,42.28626,12102
18377,-7919648.174,5212448.763,36496,"Oak, Swamp White",Quercus bicolor,1,3-6in,4.0,--,Boston,Allston-Brighton,1640,Commonwealth Avenue,,1,-71.14341,42.34267,35389
1616,-7916952.462,5207648.117,40237,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Jamaica Plain,61,Aldworth Street,,1,-71.11919,42.310790000000004,40034
2191,-7909998.444,5213539.987,41770,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,--,Central Boston,753,Atlantic Avenue,,2,-71.05672,42.349909999999994,41899
19349,-7912726.329,5202174.978999999,21852,"Elm, Valley Forge",Ulmus americana 'Valley Forge',1,3-6in,5.0,--,Boston,Mattapan,66,Woodruff Way,,1,-71.08123,42.27442,20909
1162,-7911227.967999999,5206201.158,39302,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Dorchester,397,Geneva Avenue,,1,-71.06777,42.30117,38695
37421,-7911148.931,5205321.018999999,17691,"Zelkova, Japanese",Zelkova serrata,1,12-18in,16.0,--,Boston,Dorchester,47,Tremlett Street,,2,-71.06706,42.29533,18268
1282,-7918609.563999999,5202642.124,39588,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Roslindale,306,Kittredge Street,,1,-71.13408000000001,42.27752,38898
35320,-7909453.981000001,5216062.56,3864,Honeylocust,Gleditsia triacanthos,1,12-18in,15.0,--,--,Central Boston,390,Commercial Street,,1,-71.05183000000001,42.366659999999996,2850
28301,-7918047.4,5204775.638,33827,"Linden, Littleleaf",Tilia cordata,1,6-12in,10.0,--,Boston,Roslindale,22,Mendum Street,,1,-71.12903,42.2917,34655
34327,-7917222.522999999,5200493.446,36158,"Linden, Littleleaf",Tilia cordata,1,12-18in,14.0,--,Boston,Hyde Park,1053,Hyde Park Avenue,,1,-71.12162,42.26324,35081
16169,-7913001.288,5211653.13,27525,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,4.0,--,Boston,Roxbury,958,Tremont Street,,1,-71.0837,42.33739,27270
2710,-7913558.998,5201683.335,21132,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Mattapan,9,Viking Terrace,,1,-71.08870999999999,42.27115,21099
12865,-7916282.318,5213703.4180000005,26657,Ginkgo,Ginkgo biloba,1,3-6in,3.0,--,Boston,Allston-Brighton,27,Commonwealth Avenue,,7,-71.11317,42.351000000000006,26087
3776,-7920426.2979999995,5200424.254,34060,Mimosa,Albizia julibrissin,3,0-3in,1.0,--,Boston,West Roxbury,116,Woodley Avenue,,1,-71.1504,42.26278,34945
36594,-7912134.109,5214110.125,8067,Honeylocust,Gleditsia triacanthos,1,12-18in,16.0,--,--,Back Bay/Beacon Hill,81,Marlborough Street,,1,-71.07591,42.3537,9055
6542,-7912786.165,5211969.623,44073,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2.0,Spring 2024,Boston,Roxbury,263,Northampton Street,-265,2,-71.08176,42.339490000000005,43349
37953,-7911275.836,5201758.554,36382,"Linden, Littleleaf",Tilia cordata,1,12-18in,17.0,--,Boston,Mattapan,1241,Adams Street,,1,-71.0682,42.27165,35325
42477,-7917603.235,5197079.55,36092,"Linden, Littleleaf",Tilia cordata,1,24-30in,24.0,--,Boston,Hyde Park,16,Cranmore Road,,4,-71.12504,42.24054,36002
29664,-7907334.012,5211011.461,25192,Honeylocust,Gleditsia triacanthos,1,6-12in,11.0,--,Boston,South Boston,685,East Sixth Street,,1,-71.03279,42.33313,25118
30130,-7919312.658,5198954.183,20660,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,6-12in,11.0,--,Boston,Hyde Park,10,Kardon Road,,2,-71.1404,42.253009999999996,20040
7786,-7908742.204,5212586.119,38969,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,--,Boston,South Boston,409,D Street,a,1,-71.04544,42.343579999999996,39331
42849,-7919671.106000001,5198991.481000001,20430,"Oak, Pin",Quercus palustris,1,24-30in,25.0,--,Boston,Hyde Park,30,Joan Road,,1,-71.14362,42.25325,22281
42705,-7911669.907000001,5212528.134,11235,"Linden, Littleleaf",Tilia cordata,1,24-30in,25.0,--,Boston,South End,43,Union Park,,2,-71.07174,42.3432,10729
4503,-7916368.7020000005,5200306.477,20202,"Cherry, Purpleleaf Sand",Prunus x cistena,1,0-3in,2.0,--,Boston,Hyde Park,484,Huntington Avenue,,1,-71.11395,42.262,21370
34653,-7916926.97,5207562.765,15673,"Maple, Red",Acer rubrum,1,12-18in,14.0,--,Boston,Jamaica Plain,45,Aldworth Street,,2,-71.11896999999999,42.31022,16214
36998,-7920817.029,5202453.307,13032,"Maple, Norway",Acer platanoides,1,12-18in,16.0,--,Boston,West Roxbury,140,Saint Theresa Avenue,,3,-71.15391,42.276270000000004,14355
41542,-7911742.2639999995,5212926.808,348,"Linden, Littleleaf",Tilia cordata,1,18-24in,22.0,--,Boston,South End,57,Appleton Street,,1,-71.07239,42.34584,842
42049,-7918115.305,5206528.973,15218,"Linden, Littleleaf",Tilia cordata,1,18-24in,23.0,--,Boston,Jamaica Plain,77,Whitcomb Avenue,,1,-71.12964000000001,42.30335,15739
24706,-7910256.149,5213781.2930000005,5820,Ginkgo,Ginkgo biloba,1,6-12in,8.0,--,--,Central Boston,0,John F Fitzgerald Surface Road,,17,-71.05904,42.35152,6456
9100,-7904656.333,5219728.983,41996,"Maple, Red",Acer rubrum,1,0-3in,2.0,Fall 2021,--,East Boston,208,Orient Avenue,,1,-71.00874,42.39099,41226
38266,-7920788.754,5200712.76,12790,"Oak, Northern Red",Quercus rubra,1,12-18in,17.0,--,Boston,West Roxbury,5073,Washington Street,,1,-71.15366,42.2647,13279
14831,-7911736.698,5212026.013,28224,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,Boston,South End,1515,Washington Street,,1,-71.07234,42.339859999999994,27641
39123,-7920366.185,5202670.8610000005,12955,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,18-24in,18.0,--,Boston,West Roxbury,107,Woodard Road,,2,-71.14986,42.27771,13422
15785,-7921197.297,5202904.969,34387,Apple/Crabapple,Malus species,1,3-6in,4.0,--,Boston,West Roxbury,96,Landseer Street,,1,-71.15733,42.279270000000004,33988
14092,-7909266.518999999,5211110.848,12864,"Maple, Amur",Acer ginnala,1,3-6in,3.0,--,Boston,South Boston,229,West Seventh Street,,2,-71.05015,42.33379,13297
21109,-7910875.753,5215242.518,8631,Apple/Crabapple,Malus species,1,6-12in,6.0,--,--,Central Boston,156,Cambridge Street,,5,-71.06461,42.36122,8623
36571,-7910084.16,5217473.806,5008,Honeylocust,Gleditsia triacanthos,1,12-18in,16.0,--,--,Charlestown,58,Tremont Street,,2,-71.0575,42.37603,4983
21789,-7913543.414,5204637.342,18360,Honeylocust,Gleditsia triacanthos,1,6-12in,6.0,--,Boston,Dorchester,242,Westview Street,,1,-71.08856999999999,42.29078,19107
10065,-7916436.607000001,5206805.172,38978,"Oak, Sawtooth",Quercus acutissima,1,0-3in,2.0,Spring 2021,Boston,Jamaica Plain,140,South Street,a,1,-71.11456,42.30519,39303
42005,-7907326.22,5217577.933,5983,"Hornbeam, European",Carpinus betulus,1,18-24in,23.0,--,--,East Boston,294,Paris Street,,3,-71.03272,42.37672,5553
30034,-7917847.582,5201723.953,20925,"Maple, Norway",Acer platanoides,1,6-12in,11.0,--,Boston,Hyde Park,656,Beech Street,,2,-71.12724,42.27142,20359
6868,-7910012.359,5210385.345,24943,Honeylocust,Gleditsia triacanthos,1,0-3in,2.0,--,Boston,South Boston,610,Dorchester Avenue,,1,-71.05685,42.32897,22751
33077,-7909937.775,5210853.949,29452,"Maple, Norway",Acer platanoides,1,12-18in,13.0,--,Boston,South Boston,64,Middle Street,,1,-71.05618,42.33208,28423
29221,-7915013.944,5208827.312,34735,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,11.0,--,Boston,Jamaica Plain,79,Atherton Street,,1,-71.10178,42.31862,34054
1121,-7912033.365,5213783.252,39208,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,--,Back Bay/Beacon Hill,90,Newbury Street,,3,-71.075,42.35153,38599
32675,-7908862.874,5211061.456,26022,Honeylocust,Gleditsia triacanthos,1,12-18in,13.0,--,Boston,South Boston,25,Thomas Park,,1,-71.04652,42.333459999999995,25969
5003,-7916211.742000001,5201187.353999999,20031,Crabapple spp.,Malus spp.,1,0-3in,2.0,Spring 2023,Boston,Hyde Park,21,Chapel Road,,1,-71.11254,42.26785,17997
37983,-7911276.949,5217921.664,3973,"Maple, Norway",Acer platanoides,1,12-18in,17.0,--,--,Charlestown,7,Eden Street,,2,-71.06821,42.379,2981
32255,-7907792.649,5211140.062,30166,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,13.0,--,Boston,South Boston,586,East 5th Street,,1,-71.03690999999999,42.33398,31001
31482,-7914766.815,5210747.788,9639,"Maple, Norway",Acer platanoides,1,12-18in,12.0,--,Boston,Mission Hill,56,Delle Avenue,,1,-71.09956,42.331379999999996,7557
34211,-7911631.613,5214568.518999999,1508,"Linden, Littleleaf",Tilia cordata,1,12-18in,14.0,--,--,Back Bay/Beacon Hill,85,Chestnut Street,,2,-71.0714,42.35674,2005
9441,-7915105.226,5209466.424,16081,"Oak, Bur",Quercus macrocarpa,1,0-3in,2.0,Spring 2024,Boston,Jamaica Plain,290,Centre Street,,2,-71.1026,42.32286,16543
37109,-7919363.197000001,5199056.302,35910,"Maple, Norway",Acer platanoides,1,12-18in,16.0,--,Boston,Hyde Park,16,Alwin Street,,2,-71.14085,42.253679999999996,35856
33013,-7910378.044,5208642.136,19669,"Maple, Norway",Acer platanoides,1,12-18in,13.0,--,Boston,Dorchester,16,Hinckley Street,,1,-71.06013,42.31739,17703
42855,-7917195.3610000005,5204606.342,33955,"Pear, Callery",Pyrus calleryana,1,24-30in,25.0,--,Boston,Roslindale,47,Bradeen Street,,1,-71.12138,42.29058,34831
12921,-7908682.427,5214164.352,46490,Ginkgo,Ginkgo biloba,1,3-6in,3.0,--,Boston,South Boston,10,Fan Pier Blvd,,1,-71.04491,42.35406,43077
27111,-7913783.864,5205591.463,18813,"Oak, Pin",Quercus palustris,1,6-12in,9.0,--,Boston,Dorchester,74,American Legion Highway,,1,-71.09073000000001,42.29712,19431
25252,-7907222.693,5215770.271000001,4418,"Maple, Amur",Acer ginnala,1,6-12in,8.0,--,--,East Boston,253,Webster Street,,1,-71.03179,42.36472,4262
3288,-7910281.753,5215789.103999999,3790,"Cedar, Red",Thuja species,3,0-3in,1.0,--,--,Central Boston,60,Valenti Way,,3,-71.05927,42.36485,2750
23315,-7917918.27,5207372.496,15540,"Elm, Frontier",Ulmus x 'Frontier',1,6-12in,7.0,--,Boston,Jamaica Plain,19,Driftwood Road,,2,-71.12787,42.30896,15988
5857,-7910072.084,5208974.36,44582,"Elm, Hybrid",Ulmus x,1,0-3in,2.0,Spring 2024,Boston,Dorchester,915,Dorchester Avenue,,3,-71.05739,42.3196,43562
4246,-7905854.576,5218633.88,3150,"Basswood, American",Tilia americana,1,0-3in,2.0,--,--,East Boston,10,Moore Street,,10,-71.0195,42.383720000000004,3298
6217,-7917170.61,5207691.116,39461,Ginkgo,Ginkgo biloba,1,0-3in,2.0,Fall 2023,Boston,Jamaica Plain,53,Prince Street,,1,-71.12115,42.31107,38810
30681,-7910334.741,5208768.597,15655,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,12.0,--,Boston,Dorchester,7,Chase Street,,1,-71.05975,42.31823,16119
33026,-7917655.556,5201488.52,20600,"Maple, Norway",Acer platanoides,1,12-18in,13.0,--,Boston,Hyde Park,80,Windham Road,,1,-71.12550999999999,42.269859999999994,20109
35259,-7921006.272000001,5202642.124,12936,"Cherry, Yoshino Flowering",Prunus yedoensis,1,12-18in,15.0,--,Boston,West Roxbury,19,Churchill Road,,1,-71.15561,42.27752,13369
43831,-7911936.517000001,5209292.828,29410,"Linden, Littleleaf",Tilia cordata,1,>30in,33.0,--,Boston,Roxbury,39,Brook Avenue,,1,-71.07413000000001,42.321709999999996,28356
15057,-7913698.147999999,5211766.831,32843,"Oak, Swamp White",Quercus bicolor,1,3-6in,3.0,--,Boston,Fenway/Longwood,360,Huntington Avenue,,5,-71.08995999999999,42.33814,33505
35287,-7909044.993,5211851.919,30210,Ginkgo,Ginkgo biloba,1,12-18in,15.0,--,Boston,South Boston,201,Bolton Street,,1,-71.04816,42.33871,30982
5872,-7907427.521000001,5217437.641,42050,"Elm, Jefferson",Ulmus americana 'jefferson',0,0-3in,2.0,Fall 2021,Boston,East Boston,259,Paris Street,,1,-71.03363,42.37579,41478
4144,-7915709.134,5210921.712,23319,Apple/Crabapple,Malus species,1,0-3in,2.0,--,Boston,Mission Hill,15,Frawley Street,,1,-71.10802,42.33253,24254
20686,-7914292.594,5212680.703,28686,"Oak, Pin",Quercus palustris,1,3-6in,5.0,--,Boston,Fenway/Longwood,15,Peterborough Street,,1,-71.0953,42.34421,28733
9758,-7919091.02,5215492.0030000005,10153,"Oak, Pin",Quercus palustris,1,0-3in,2.0,Fall 2022,Boston,Allston-Brighton,381,Western Avenue,,2,-71.1384,42.36287,10094
6839,-7911563.04,5207771.103,19518,Honeylocust,Gleditsia triacanthos,1,0-3in,2.0,--,Boston,Dorchester,276,Quincy Street,,1,-71.07078,42.3116,19635
26166,-7912943.402000001,5212437.317,29342,"Buckeye, Ohio",Aesculus glabra,1,6-12in,9.0,--,Boston,Back Bay/Beacon Hill,174,Saint Botolph Street,,1,-71.08318,42.34259,28306
2325,-7913791.656,5202593.528,40998,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Mattapan,40,Mildred Avenue,,1,-71.0908,42.2772,42163
18788,-7915838.822000001,5206757.006,15955,"Zelkova, Japanese",Zelkova serrata,1,3-6in,4.0,--,Boston,Jamaica Plain,3525,Washington Street,,1,-71.10919,42.30487,16427
40389,-7913118.73,5201593.073,21558,"Linden, Littleleaf",Tilia cordata,1,18-24in,20.0,--,Boston,Mattapan,6,Southmere Road,,2,-71.08475,42.27055,22064
34278,-7910435.373,5209512.947,19755,"Linden, Littleleaf",Tilia cordata,1,12-18in,14.0,--,Boston,Dorchester,199,Boston Street,,1,-71.06065,42.323170000000005,17694
38052,-7920244.847,5205088.355,14588,"Maple, Norway",Acer platanoides,1,12-18in,17.0,--,Boston,West Roxbury,6,Rendall Road,,4,-71.14877,42.29378,13611
40592,-7921703.132,5199976.621,34183,"Maple, Norway",Acer platanoides,1,18-24in,20.0,--,Boston,West Roxbury,40,Tobin Road,,1,-71.16187,42.2598,33032
7540,-7910339.042,5203899.558,17237,"Hornbeam, European",Carpinus betulus,1,0-3in,2.0,Spring 2024,Boston,Dorchester,27,Fossdale Road,,1,-71.05978,42.28588,16890
25659,-7913985.352000001,5205361.201,29405,"Oak, Pin",Quercus palustris,1,6-12in,8.0,--,Boston,Dorchester,60,Franklin Hill Ave,,2,-71.09254,42.295590000000004,28285
23152,-7916526.107999999,5208907.103999999,16613,"Cherry, Japanese Flowering",Prunus serrulata,1,6-12in,7.0,--,Boston,Jamaica Plain,66,Pershing Road,,2,-71.11536,42.31915,15070
35620,-7917160.183999999,5200818.357,9180,"Linden, Littleleaf",Tilia cordata,1,12-18in,15.0,--,Boston,Hyde Park,1002,Hyde Park Avenue,,1,-71.12106,42.2654,8150
42331,-7906716.746,5211324.534,25271,"Basswood, American",Tilia americana,1,24-30in,24.0,--,Boston,South Boston,89,P Street,,1,-71.02724,42.33521,25195
22489,-7912427.992000001,5206270.092,35480,"Maple, Red",Acer rubrum,1,6-12in,6.0,--,Boston,Dorchester,30,Norwell Street,,1,-71.07855,42.301629999999996,37059
14858,-7916907.489,5203380.877,33422,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,Boston,Roslindale,522,Hyde Park Avenue,,2,-71.11879,42.28243,32826
11119,-7906901.359,5217990.672,5964,"Serviceberry, Snowcloud",Amelanchier laevis 'Snowcloud',1,0-3in,2.0,Fall 2023,--,East Boston,426,Saratoga Street,,1,-71.0289,42.379459999999995,6681
32135,-7918707.97,5205152.315,34030,Apple/Crabapple,Malus species,1,12-18in,13.0,--,Boston,Roslindale,34,Hazelmere Road,,1,-71.13495999999999,42.2942,34872
20363,-7915450.316000001,5213046.699,489,"Maple, Red",Acer rubrum,1,3-6in,5.0,--,Boston,Fenway/Longwood,900,Beacon Street,,2,-71.1057,42.34664,983
