,Unnamed: 0,Unnamed: 0.1,X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,text
588,309,1379,777035.5728,2955570.482,1380,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BROA,FRANKLIN ST,1.0,,-71.052807,42.357366999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,197.0,,0BD,BD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FRANKLIN ST
METER_TYPE：SINGLE-SPACE"
736,1578,6742,757698.9455,2953483.43,6743,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,FULL,COMMONWEALTH AV,1.0,,-71.124382,42.351896,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KE,KE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
1761,648,4741,763157.9159,2947065.777,4742,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,TREM,HUNTINGTON AV,1.0,,-71.104297,42.334218,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,647.0,,0FC,FC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HUNTINGTON AV
METER_TYPE：SINGLE-SPACE"
941,1457,6055,772815.6886,2948278.4060000004,6056,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,ALBA,E CANTON ST,1.0,,-71.068556,42.337416999999995,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,779.0,,0HC,HC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:E CANTON ST
METER_TYPE：SINGLE-SPACE"
71,383,5985,772950.3254,2949241.175,5986,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,ALBA,MALDEN ST,1.0,,-71.06804,42.340057,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0HC,HC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MALDEN ST
METER_TYPE：SINGLE-SPACE"
1407,1752,5193,764512.3541,2951596.459,5194,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,COMM,BROOKLINE AV,1.0,,-71.099209,42.346633000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FF,FF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BROOKLINE AV
METER_TYPE：SINGLE-SPACE"
259,1265,3889,767431.1298,2953224.773,3890,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,HERE,BEACON ST,1.0,,-71.088383,42.351063,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0EC,EC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACON ST
METER_TYPE：SINGLE-SPACE"
51,247,6541,765921.9709999998,2952541.527,6542,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,CHAR,COMMONWEALTH AV,1.0,,-71.093978,42.349208000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KC,KC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
198,693,2510,773138.9254,2952087.9469999997,2511,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,SHAW,MARGINAL RD,1.0,,-71.067289,42.347865999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MARGINAL RD
METER_TYPE：SINGLE-SPACE"
1788,1839,3973,766693.1175,2952389.9639999997,3974,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,CHAR,COMMONWEALTH AV,1.0,,-71.091128,42.348782,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0EC,EC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
650,1629,1514,774678.8905,2953421.966,1515,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,HARR,BEACH ST,1.0,,-71.06156700000003,42.351504999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BE,BE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACH ST
METER_TYPE：SINGLE-SPACE"
332,1518,1339,777040.4396,2955003.0919999997,1340,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,PURC,OLIVER ST,1.0,,-71.0528,42.35581,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BD,BD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:OLIVER ST
METER_TYPE：SINGLE-SPACE"
1359,61,6271,764149.4716,2952771.128,6272,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,BAY,SILBER WY,1.0,,-71.100531,42.349861,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KB,KB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SILBER WY
METER_TYPE：SINGLE-SPACE"
593,1383,1586,775242.2201,2954103.07,1587,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,KING,BEDFORD ST,1.0,,-71.05946999999998,42.353365999999994,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,230.0,,0BE,BE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEDFORD ST
METER_TYPE：SINGLE-SPACE"
1391,1918,6812,760088.1205,2953146.4110000012,6813,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,ST P,COMMONWEALTH AV,1.0,,-71.115549,42.350941999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KE,KE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
1800,1678,6177,764720.5266,2952913.75,6178,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,SILB,BAY STATE RD,1.0,,-71.098416,42.350245,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
1314,953,8,771209.32,2953550.5289999996,9,450009.0,Parkeon,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,BERK,NEWBURY ST B-C,1.0,,-71.0744,42.351906,,,,9.0,1.0,MULTI-SPACE STALL,NO,DISTRICT 0,,,0MS,MS,0.25,,,,,,,,,1/1/2017 0:00,,ACTIVE,ACTIVE,"STREET:NEWBURY ST B-C
METER_TYPE：MULTI-SPACE STALL"
1111,1113,333,778479.8744,2952485.192,334,,IPS,08:00AM-08:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,SUMM,SUMMER ST,1.0,,-71.047524,42.34888,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AD,AD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
1006,1716,4657,766379.854,2948930.7789999996,4658,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,HUNT,FORSYTH WY,1.0,,-71.092348,42.339294,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,612.0,,0FB,FB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FORSYTH WY
METER_TYPE：SINGLE-SPACE"
1326,1424,1452,776905.9583,2955391.962,1453,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,OLIV,FRANKLIN ST,1.0,,-71.05329,42.356879,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BD,BD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FRANKLIN ST
METER_TYPE：SINGLE-SPACE"
426,1314,3552,768115.5953,2952495.222,3553,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,NEWB,HEREFORD ST,1.0,,-71.085864,42.349052,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DE,DE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HEREFORD ST
METER_TYPE：SINGLE-SPACE"
1558,1908,4401,768026.1184,2949876.012,4402,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,MASS,HUNTINGTON AV,1.0,,-71.086242,42.341865999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FA,FA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:HUNTINGTON AV
METER_TYPE：SINGLE-SPACE"
1293,1351,1553,775031.2888,2953963.863,1554,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,CHAUN,AV DE LAFAYETTE,1.0,,-71.060253,42.352987,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BE,BE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:AV DE LAFAYETTE
METER_TYPE：SINGLE-SPACE"
590,1857,6123,764956.8857,2952835.055,6124,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,COMM,DEERFIELD ST,1.0,,-71.097543,42.350026,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:DEERFIELD ST
METER_TYPE：SINGLE-SPACE"
1957,1705,6176,764697.8117,2952915.465,6177,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,SILB,BAY STATE RD,1.0,,-71.0985,42.35025,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
1976,343,2521,773220.1907,2952108.403,2522,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,TREM,MARGINAL RD,1.0,,-71.066988,42.347921,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MARGINAL RD
METER_TYPE：SINGLE-SPACE"
1132,1986,2197,771297.8586,2951734.6610000012,2198,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,CLAR,COLUMBUS AV,1.0,,-71.074106,42.346922,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CD,CD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COLUMBUS AV
METER_TYPE：SINGLE-SPACE"
985,723,736,777645.9607,2952990.983,737,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,MELC,SUMMER ST,1.0,,-71.050599,42.35028,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
398,261,982,774446.3323,2956916.373,983,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,BOWD,CAMBRIDGE ST,1.0,,-71.062361,42.361096999999994,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,128.0,,0BA,BA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CAMBRIDGE ST
METER_TYPE：SINGLE-SPACE"
1511,1557,1027,775829.1733,2957048.145,1028,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,HANO,UNION ST,1.0,,-71.057242,42.361439000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BA,BA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:UNION ST
METER_TYPE：SINGLE-SPACE"
436,1132,2042,773107.0295,2953579.755,2043,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,BOYL,CHARLES ST SOUTH,1.0,,-71.067379,42.35196,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CHARLES ST SOUTH
METER_TYPE：SINGLE-SPACE"
192,1384,2405,772267.9213,2949565.349,2406,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,UNIO,WASHINGTON ST,1.0,,-71.07055799999998,42.340956,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CE,CE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:WASHINGTON ST
METER_TYPE：SINGLE-SPACE"
1435,431,2083,772560.9696,2952300.764,2084,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,ISAB,ARLINGTON ST,1.0,,-71.069423,42.348458,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CC,CC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:ARLINGTON ST
METER_TYPE：SINGLE-SPACE"
614,1637,2833,770887.4493,2952341.21,2834,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,DART,STUART ST,1.0,,-71.075613,42.348592,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DA,DA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:STUART ST
METER_TYPE：SINGLE-SPACE"
1493,991,5332,755280.6501,2952436.841,5333,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,GRIG,COMMONWEALTH AV,1.0,,-71.13334499999998,42.34905300000001,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0GC,GC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
576,506,4074,767485.7146,2951828.914,4075,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,MASS,BOYLSTON ST,1.0,,-71.088206,42.347232,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0ED,ED,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BOYLSTON ST
METER_TYPE：SINGLE-SPACE"
986,786,4900,765581.2831,2951077.46,4901,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,JERS,BOYLSTON ST,1.0,,-71.095264,42.345195000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FE,FE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BOYLSTON ST
METER_TYPE：SINGLE-SPACE"
1432,1312,1721,776088.6111,2954350.5310000004,1722,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,HIGH,FEDERAL ST,1.0,,-71.05633399999998,42.354033,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CA,CA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FEDERAL ST
METER_TYPE：SINGLE-SPACE"
706,643,1108,777087.3982,2955996.043,1109,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,INDI,MILK ST,1.0,,-71.052607,42.35853400000001,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0BB,BB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MILK ST
METER_TYPE：SINGLE-SPACE"
1258,885,3538,769067.0336,2952791.768,3539,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,COMM,FAIRFIELD ST,1.0,,-71.082339,42.349853,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DE,DE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FAIRFIELD ST
METER_TYPE：SINGLE-SPACE"
141,306,4383,769172.9055,2950659.6560000004,4384,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,W NE,ST BOTOLPH ST,1.0,,-71.081986,42.344001,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0EE,EE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:ST BOTOLPH ST
METER_TYPE：SINGLE-SPACE"
1357,1380,6543,765880.8845,2952540.9669999997,6544,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,CHAR,COMMONWEALTH AV,1.0,,-71.09413,42.349207,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KC,KC,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
2,1333,5897,771593.292,2947853.893,5898,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,W,HARR,E CONCORD ST,1.0,,-71.07308499999998,42.336269,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0HB,HB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:E CONCORD ST
METER_TYPE：SINGLE-SPACE"
1221,1703,3728,768900.4509999999,2953358.003,3729,,IPS,08:00AM-06:00PM MON-FRI $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-FRI, 00:00AM-24:00AM SAT, 06:00PM-24:00AM MON-FRI",,,,E,COMM,FAIRFIELD ST,1.0,,-71.082945,42.351409000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DF,DF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:FAIRFIELD ST
METER_TYPE：SINGLE-SPACE"
1869,64,5654,750432.5778,2947833.854,5655,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,BEAC,CHESTNUT HILL AV,1.0,,-71.151349,42.336478,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0GE,GE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CHESTNUT HILL AV
METER_TYPE：SINGLE-SPACE"
1622,1158,5489,756253.1774,2952956.707,5490,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,E,THORN,COMMONWEALTH AV,1.0,,-71.129739,42.350468,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0GD,GD,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
339,1754,1912,774719.8859,2953071.961,1913,,IPS,"08:00AM-08:00PM SAT $0.25 120, 09:30AM-04:00PM MON-FRI $0.25 120, 06:00PM-08:00PM MON-FRI $0.25 120",,"00:00AM-24:00AM SUN, 00:00AM-09:30AM MON-FRI, 00:00AM-08:00AM SAT, 08:00PM-24:00AM MON-SAT",,04:00PM-06:00PM MON-FRI,,S,HARR,KNEELAND ST,1.0,,-71.061422,42.350544,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,284.0,,0CB,CB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:KNEELAND ST
METER_TYPE：SINGLE-SPACE"
1769,632,4981,764175.6832,2951099.623,4982,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,KILM,BROOKLINE AV,1.0,,-71.100463,42.345273999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0FE,FE,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BROOKLINE AV
METER_TYPE：SINGLE-SPACE"
1536,1853,4053,767073.2535,2952152.725,4054,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,MASS,NEWBURY EXT,1.0,,-71.089726,42.348126,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0ED,ED,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:NEWBURY EXT
METER_TYPE：SINGLE-SPACE"
483,413,2559,773728.4003,2950996.568,2560,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,S,HARR,TRAVELER ST,1.0,,-71.065129,42.344863000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:TRAVELER ST
METER_TYPE：SINGLE-SPACE"
265,1562,662,779028.0049,2952653.921,663,,IPS,08:00AM-06:00PM MON-SAT $0.25 240,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,EAST,CONGRESS ST,1.0,,-71.04549300000002,42.349334999999996,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,90.0,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:CONGRESS ST
METER_TYPE：SINGLE-SPACE"
376,480,4119,768035.3595,2950646.0919999997,4120,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,HAVI,MASSACHUSETTS AV,1.0,,-71.08619399999998,42.343979,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0ED,ED,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MASSACHUSETTS AV
METER_TYPE：SINGLE-SPACE"
